log_id,timestamp,ticker,contract_type,setup_quality,confluence_score,bias,price_at_scan,strike,stock_target,stop_level,expiry,entry_trigger,freshness_consumed_pct,freshness_stale,em_pct,target_em_ratio,target_adjusted,checked,checked_at,outcome_price,max_favorable_pct,max_adverse_pct,hit_target,hit_stop,entry_triggered,result
TSLA_20260703T140700.601244,2026-07-03T14:07:00.601244,TSLA,PUT,MODERATE,62,BEARISH,393.45,390.0,378.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:41+00:00,402.98,0.75,1.83,no,yes,yes,LOSS
AAPL_20260703T143147.747230,2026-07-03T14:31:47.747230,AAPL,CALL,MODERATE,62,BULLISH,308.63,310.0,313.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:41+00:00,310.66,0.41,0.52,no,no,yes,WIN
AMZN_20260703T143228.680247,2026-07-03T14:32:28.680247,AMZN,PUT,MODERATE,68,BEARISH,242.67,242.0,238.5,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:41+00:00,245.95,0.74,1.17,no,yes,yes,LOSS
META_20260703T143315.143100,2026-07-03T14:33:15.143100,META,PUT,MODERATE,68,BEARISH,582.9,580.0,565.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:41+00:00,615.57,0.0,2.54,no,yes,yes,LOSS
MSFT_20260703T143406.790801,2026-07-03T14:34:06.790801,MSFT,PUT,LOW CONVICTION,52,LEANING,390.49,390.0,383.5,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:41+00:00,388.83,2.37,0.0,yes,yes,yes,LOSS
NVDA_20260703T143458.128717,2026-07-03T14:34:58.128717,NVDA,PUT,MODERATE,58,BEARISH,194.83,193.0,190.5,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:41+00:00,196.93,0.43,0.33,no,yes,yes,LOSS
QQQ_20260703T143542.655949,2026-07-03T14:35:42.655949,QQQ,PUT,MODERATE,62,BEARISH,712.6,712.0,700.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:41+00:00,709.38,0.0,1.36,no,yes,yes,LOSS
SPY_20260703T143629.286946,2026-07-03T14:36:29.286946,SPY,NONE,NO TRADE,38,NEUTRAL,744.78,,,,,,,,,,,yes,2026-07-22T15:35:41+00:00,,,,,,,NO_TRADE
TSLA_20260703T143721.954176,2026-07-03T14:37:21.954176,TSLA,PUT,MODERATE,58,BEARISH,393.45,392.0,378.0,1.0,1DTE,,,,,,,yes,2026-07-22T15:35:41+00:00,402.98,0.75,1.83,no,yes,yes,LOSS
AAPL_20260703T150148.571076,2026-07-03T15:01:48.571076,AAPL,CALL,MODERATE,58,BULLISH,308.63,310.0,313.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:42+00:00,310.66,0.41,0.52,no,no,yes,WIN
AMZN_20260703T150256.431410,2026-07-03T15:02:56.431410,AMZN,PUT,MODERATE,68,BEARISH,242.67,242.0,238.5,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:42+00:00,245.95,0.74,1.17,no,yes,yes,LOSS
META_20260703T150346.996294,2026-07-03T15:03:46.996294,META,PUT,HIGH CONVICTION,72,BEARISH,582.9,580.0,567.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:42+00:00,615.57,0.0,2.54,no,yes,yes,LOSS
MSFT_20260703T150444.587062,2026-07-03T15:04:44.587062,MSFT,PUT,LOW CONVICTION,52,LEANING,390.49,388.0,383.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:42+00:00,388.83,2.37,0.0,yes,yes,yes,LOSS
NVDA_20260703T150532.330038,2026-07-03T15:05:32.330038,NVDA,PUT,MODERATE,58,BEARISH,194.83,193.0,190.5,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:42+00:00,196.93,0.43,0.33,no,yes,yes,LOSS
QQQ_20260703T150619.362599,2026-07-03T15:06:19.362599,QQQ,PUT,MODERATE,58,BEARISH,712.6,712.0,701.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:42+00:00,709.38,0.0,1.36,no,yes,yes,LOSS
SPY_20260703T150703.913606,2026-07-03T15:07:03.913606,SPY,NONE,NO TRADE,38,NEUTRAL,744.78,,,,,,,,,,,yes,2026-07-22T15:35:42+00:00,,,,,,,NO_TRADE
TSLA_20260703T150751.888912,2026-07-03T15:07:51.888912,TSLA,PUT,MODERATE,62,BEARISH,393.45,390.0,378.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:42+00:00,402.98,0.75,1.83,no,yes,yes,LOSS
AAPL_20260703T153145.755189,2026-07-03T15:31:45.755189,AAPL,NONE,NO TRADE,52,NEUTRAL,308.63,,,,,,,,,,,yes,2026-07-22T15:35:42+00:00,,,,,,,NO_TRADE
AMZN_20260703T153227.834485,2026-07-03T15:32:27.834485,AMZN,PUT,MODERATE,66,BEARISH,242.67,242.0,238.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:42+00:00,245.95,0.74,1.17,no,yes,yes,LOSS
META_20260703T153312.077833,2026-07-03T15:33:12.077833,META,PUT,HIGH CONVICTION,72,BEARISH,582.9,580.0,565.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:42+00:00,615.57,0.0,2.54,no,yes,yes,LOSS
MSFT_20260703T153356.664539,2026-07-03T15:33:56.664539,MSFT,PUT,MODERATE,58,BEARISH,390.49,390.0,382.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:42+00:00,388.83,2.37,0.0,yes,yes,yes,LOSS
NVDA_20260703T153442.856245,2026-07-03T15:34:42.856245,NVDA,PUT,MODERATE,62,BEARISH,194.83,193.0,190.5,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:42+00:00,196.93,0.43,0.33,no,yes,yes,LOSS
QQQ_20260703T153533.600832,2026-07-03T15:35:33.600832,QQQ,PUT,MODERATE,62,BEARISH,712.6,710.0,700.0,1.0,1DTE,,,,,,,yes,2026-07-22T15:35:42+00:00,709.38,0.0,1.36,no,yes,yes,LOSS
SPY_20260703T153619.476380,2026-07-03T15:36:19.476380,SPY,NONE,NO TRADE,38,NEUTRAL,744.78,,,,,,,,,,,yes,2026-07-22T15:35:42+00:00,,,,,,,NO_TRADE
TSLA_20260703T153705.309468,2026-07-03T15:37:05.309468,TSLA,PUT,LOW CONVICTION,52,LEANING,393.45,390.0,378.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:42+00:00,402.98,0.75,1.83,no,yes,yes,LOSS
AAPL_20260703T160150.426518,2026-07-03T16:01:50.426518,AAPL,CALL,MODERATE,61,BULLISH,308.63,310.0,313.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:42+00:00,310.66,0.41,0.52,no,no,yes,WIN
AMZN_20260703T160231.591003,2026-07-03T16:02:31.591003,AMZN,PUT,MODERATE,68,BEARISH,242.67,242.0,238.5,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:42+00:00,245.95,0.74,1.17,no,yes,yes,LOSS
META_20260703T160314.755852,2026-07-03T16:03:14.755852,META,PUT,MODERATE,68,BEARISH,582.9,580.0,560.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:42+00:00,615.57,0.0,2.54,no,yes,yes,LOSS
MSFT_20260703T160404.325983,2026-07-03T16:04:04.325983,MSFT,PUT,MODERATE,58,BEARISH,390.49,390.0,383.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:42+00:00,388.83,2.37,0.0,yes,yes,yes,LOSS
NVDA_20260703T160448.496793,2026-07-03T16:04:48.496793,NVDA,PUT,MODERATE,58,BEARISH,194.83,193.0,190.5,1.0,1DTE,,,,,,,yes,2026-07-22T15:35:42+00:00,196.93,0.43,0.33,no,yes,yes,LOSS
QQQ_20260703T160534.335434,2026-07-03T16:05:34.335434,QQQ,PUT,MODERATE,62,BEARISH,712.6,710.0,701.0,1.0,1DTE,,,,,,,yes,2026-07-22T15:35:42+00:00,709.38,0.0,1.36,no,yes,yes,LOSS
SPY_20260703T160622.433117,2026-07-03T16:06:22.433117,SPY,NONE,NO TRADE,38,NEUTRAL,744.78,,,15.0,,,,,,,,yes,2026-07-22T15:35:42+00:00,,,,,,,NO_TRADE
TSLA_20260703T160710.367020,2026-07-03T16:07:10.367020,TSLA,PUT,MODERATE,62,BEARISH,393.45,390.0,375.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:42+00:00,402.98,0.75,1.83,no,yes,yes,LOSS
AAPL_20260703T163154.736782,2026-07-03T16:31:54.736782,AAPL,CALL,MODERATE,58,BULLISH,308.63,310.0,314.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:42+00:00,310.66,0.41,0.52,no,no,yes,WIN
AMZN_20260703T163248.763743,2026-07-03T16:32:48.763743,AMZN,PUT,MODERATE,68,BEARISH,242.67,242.0,237.5,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:42+00:00,245.95,0.74,1.17,no,yes,yes,LOSS
META_20260703T163337.905433,2026-07-03T16:33:37.905433,META,PUT,MODERATE,67,BEARISH,582.9,580.0,565.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:42+00:00,615.57,0.0,2.54,no,yes,yes,LOSS
MSFT_20260703T163429.775742,2026-07-03T16:34:29.775742,MSFT,NONE,NO TRADE,52,NEUTRAL,390.49,,,,,,,,,,,yes,2026-07-22T15:35:42+00:00,,,,,,,NO_TRADE
NVDA_20260703T163513.597397,2026-07-03T16:35:13.597397,NVDA,PUT,MODERATE,58,BEARISH,194.83,194.0,190.5,1.0,1DTE,,,,,,,yes,2026-07-22T15:35:42+00:00,196.93,0.43,0.33,no,yes,yes,LOSS
QQQ_20260703T163558.381562,2026-07-03T16:35:58.381562,QQQ,PUT,MODERATE,62,BEARISH,712.6,710.0,693.0,1.0,1DTE,,,,,,,yes,2026-07-22T15:35:42+00:00,709.38,0.0,1.36,no,yes,yes,LOSS
SPY_20260703T163642.106787,2026-07-03T16:36:42.106787,SPY,NONE,NO TRADE,38,NEUTRAL,744.78,,,,,,,,,,,yes,2026-07-22T15:35:42+00:00,,,,,,,NO_TRADE
TSLA_20260703T163731.900738,2026-07-03T16:37:31.900738,TSLA,PUT,MODERATE,62,BEARISH,393.45,390.0,375.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:42+00:00,402.98,0.75,1.83,no,yes,yes,LOSS
AAPL_20260703T170152.876930,2026-07-03T17:01:52.876930,AAPL,PUT,LOW CONVICTION,52,NEUTRAL,308.63,307.0,301.0,311.0,1DTE,,,,,,,yes,2026-07-22T15:35:42+00:00,310.66,0.52,0.41,no,no,yes,WIN
AMZN_20260703T170233.433679,2026-07-03T17:02:33.433679,AMZN,PUT,MODERATE,68,BEARISH,242.67,242.0,238.5,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:42+00:00,245.95,0.74,1.17,no,yes,yes,LOSS
META_20260703T170323.713810,2026-07-03T17:03:23.713810,META,PUT,HIGH CONVICTION,72,BEARISH,582.9,580.0,565.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:42+00:00,615.57,0.0,2.54,no,yes,yes,LOSS
MSFT_20260703T170424.685739,2026-07-03T17:04:24.685739,MSFT,NONE,NO TRADE,42,NEUTRAL,390.49,,,,,,,,,,,yes,2026-07-22T15:35:42+00:00,,,,,,,NO_TRADE
NVDA_20260703T170505.251546,2026-07-03T17:05:05.251546,NVDA,PUT,MODERATE,62,BEARISH,194.83,193.0,190.5,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:42+00:00,196.93,0.43,0.33,no,yes,yes,LOSS
QQQ_20260703T170550.986600,2026-07-03T17:05:50.986600,QQQ,PUT,MODERATE,58,BEARISH,712.6,710.0,700.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:42+00:00,709.38,0.0,1.36,no,yes,yes,LOSS
SPY_20260703T170640.173161,2026-07-03T17:06:40.173161,SPY,NONE,NO TRADE,42,NEUTRAL,744.78,,,,,,,,,,,yes,2026-07-22T15:35:43+00:00,,,,,,,NO_TRADE
TSLA_20260703T170727.977590,2026-07-03T17:07:27.977590,TSLA,PUT,MODERATE,58,BEARISH,393.45,392.0,378.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:43+00:00,402.98,0.75,1.83,no,yes,yes,LOSS
AAPL_20260703T173143.167339,2026-07-03T17:31:43.167339,AAPL,CALL,MODERATE,62,BULLISH,308.63,310.0,314.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:43+00:00,310.66,0.41,0.52,no,no,yes,WIN
AMZN_20260703T173222.117359,2026-07-03T17:32:22.117359,AMZN,PUT,MODERATE,64,BEARISH,242.67,242.0,238.97,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:43+00:00,245.95,0.74,1.17,no,yes,yes,LOSS
META_20260703T173307.507898,2026-07-03T17:33:07.507898,META,PUT,HIGH CONVICTION,72,BEARISH,582.9,580.0,568.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:43+00:00,615.57,0.0,2.54,no,yes,yes,LOSS
MSFT_20260703T173356.782917,2026-07-03T17:33:56.782917,MSFT,PUT,LOW CONVICTION,52,LEANING,390.49,390.0,383.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:43+00:00,388.83,2.37,0.0,yes,yes,yes,LOSS
NVDA_20260703T173441.281258,2026-07-03T17:34:41.281258,NVDA,PUT,MODERATE,58,BEARISH,194.83,194.0,190.5,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:43+00:00,196.93,0.43,0.33,no,yes,yes,LOSS
QQQ_20260703T173525.553426,2026-07-03T17:35:25.553426,QQQ,PUT,MODERATE,62,BEARISH,712.6,710.0,700.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:43+00:00,709.38,0.0,1.36,no,yes,yes,LOSS
SPY_20260703T173611.209238,2026-07-03T17:36:11.209238,SPY,NONE,NO TRADE,42,NEUTRAL,744.78,,,,,,,,,,,yes,2026-07-22T15:35:43+00:00,,,,,,,NO_TRADE
TSLA_20260703T173707.519476,2026-07-03T17:37:07.519476,TSLA,PUT,LOW CONVICTION,52,LEANING,393.45,390.0,376.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:43+00:00,402.98,0.75,1.83,no,yes,yes,LOSS
AAPL_20260703T180144.959438,2026-07-03T18:01:44.959438,AAPL,CALL,MODERATE,62,BULLISH,308.63,310.0,313.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:43+00:00,310.66,0.41,0.52,no,no,yes,WIN
AMZN_20260703T180229.751671,2026-07-03T18:02:29.751671,AMZN,PUT,MODERATE,68,BEARISH,242.67,242.0,238.97,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:43+00:00,245.95,0.74,1.17,no,yes,yes,LOSS
META_20260703T180325.474087,2026-07-03T18:03:25.474087,META,PUT,MODERATE,68,BEARISH,582.9,580.0,563.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:43+00:00,615.57,0.0,2.54,no,yes,yes,LOSS
MSFT_20260703T180410.602342,2026-07-03T18:04:10.602342,MSFT,PUT,LOW CONVICTION,52,BEARISH,390.49,390.0,383.85,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:43+00:00,388.83,2.37,0.0,yes,yes,yes,LOSS
NVDA_20260703T180455.942251,2026-07-03T18:04:55.942251,NVDA,PUT,MODERATE,58,BEARISH,194.83,193.0,190.5,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:43+00:00,196.93,0.43,0.33,no,yes,yes,LOSS
QQQ_20260703T180539.587409,2026-07-03T18:05:39.587409,QQQ,PUT,MODERATE,62,BEARISH,712.6,710.0,700.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:43+00:00,709.38,0.0,1.36,no,yes,yes,LOSS
SPY_20260703T180628.696972,2026-07-03T18:06:28.696972,SPY,NONE,NO TRADE,38,NEUTRAL,744.78,,,,,,,,,,,yes,2026-07-22T15:35:43+00:00,,,,,,,NO_TRADE
TSLA_20260703T180715.662773,2026-07-03T18:07:15.662773,TSLA,PUT,MODERATE,58,BEARISH,393.45,390.0,378.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:43+00:00,402.98,0.75,1.83,no,yes,yes,LOSS
AAPL_20260703T183151.363700,2026-07-03T18:31:51.363700,AAPL,CALL,MODERATE,58,BULLISH,308.63,311.0,315.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:43+00:00,310.66,0.41,0.52,no,no,yes,WIN
AMZN_20260703T183238.765844,2026-07-03T18:32:38.765844,AMZN,PUT,MODERATE,62,BEARISH,242.67,242.0,238.97,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:43+00:00,245.95,0.74,1.17,no,yes,yes,LOSS
META_20260703T183331.540937,2026-07-03T18:33:31.540937,META,PUT,HIGH CONVICTION,72,BEARISH,582.9,580.0,565.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:43+00:00,615.57,0.0,2.54,no,yes,yes,LOSS
MSFT_20260703T183418.174434,2026-07-03T18:34:18.174434,MSFT,NONE,NO TRADE,42,NEUTRAL,390.49,,,,,,,,,,,yes,2026-07-22T15:35:43+00:00,,,,,,,NO_TRADE
NVDA_20260703T183504.202736,2026-07-03T18:35:04.202736,NVDA,PUT,MODERATE,62,BEARISH,194.83,193.0,190.5,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:43+00:00,196.93,0.43,0.33,no,yes,yes,LOSS
QQQ_20260703T183551.978901,2026-07-03T18:35:51.978901,QQQ,PUT,MODERATE,63,BEARISH,712.6,710.0,700.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:43+00:00,709.38,0.0,1.36,no,yes,yes,LOSS
SPY_20260703T183635.797413,2026-07-03T18:36:35.797413,SPY,NONE,NO TRADE,38,NEUTRAL,744.78,,,,,,,,,,,yes,2026-07-22T15:35:43+00:00,,,,,,,NO_TRADE
TSLA_20260703T183722.969117,2026-07-03T18:37:22.969117,TSLA,PUT,MODERATE,58,BEARISH,393.45,390.0,375.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:43+00:00,402.98,0.75,1.83,no,yes,yes,LOSS
AAPL_20260706T130203.183091,2026-07-06T13:02:03.183091,AAPL,CALL,MODERATE,61,BULLISH,308.63,310.0,313.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:43+00:00,313.26,0.41,0.52,no,no,yes,WIN
AMZN_20260706T130250.818942,2026-07-06T13:02:50.818942,AMZN,PUT,MODERATE,68,BEARISH,242.67,242.0,238.97,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:43+00:00,243.56,0.74,1.17,no,yes,yes,LOSS
META_20260706T130337.460167,2026-07-06T13:03:37.460167,META,PUT,HIGH CONVICTION,72,BEARISH,582.9,580.0,563.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:44+00:00,603.07,0.0,2.54,no,yes,yes,LOSS
MSFT_20260706T130422.065418,2026-07-06T13:04:22.065418,MSFT,NONE,NO TRADE,42,NEUTRAL,390.49,,,,,,,,,,,yes,2026-07-22T15:35:44+00:00,,,,,,,NO_TRADE
NVDA_20260706T130517.406626,2026-07-06T13:05:17.406626,NVDA,PUT,MODERATE,58,BEARISH,194.83,193.0,190.5,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:44+00:00,204.15,0.43,0.33,no,yes,yes,LOSS
QQQ_20260706T130609.773607,2026-07-06T13:06:09.773607,QQQ,PUT,MODERATE,62,BEARISH,712.6,710.0,700.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:44+00:00,711.28,0.0,1.36,no,yes,yes,LOSS
SPY_20260706T130657.293344,2026-07-06T13:06:57.293344,SPY,NONE,NO TRADE,38,NEUTRAL,744.78,,,,,,,,,,,yes,2026-07-22T15:35:44+00:00,,,,,,,NO_TRADE
TSLA_20260706T130752.573290,2026-07-06T13:07:52.573290,TSLA,PUT,MODERATE,62,BEARISH,393.45,390.0,378.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:44+00:00,393.87,0.75,1.83,no,yes,yes,LOSS
AAPL_20260706T133205.906895,2026-07-06T13:32:05.906895,AAPL,NONE,NO TRADE,42,NEUTRAL,308.25,,,,,,,,,,,yes,2026-07-22T15:35:44+00:00,,,,,,,NO_TRADE
AMZN_20260706T133251.768534,2026-07-06T13:32:51.768534,AMZN,NONE,NO TRADE,38,NEUTRAL,243.99,,,,,,,,,,,yes,2026-07-22T15:35:44+00:00,,,,,,,NO_TRADE
META_20260706T133334.648709,2026-07-06T13:33:34.648709,META,NONE,NO TRADE,32,NEUTRAL,593.94,,,,,,,,,,,yes,2026-07-22T15:35:44+00:00,,,,,,,NO_TRADE
MSFT_20260706T133421.382955,2026-07-06T13:34:21.382955,MSFT,PUT,MODERATE,58,BEARISH,387.95,387.0,382.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:44+00:00,383.05,1.21,0.0,no,yes,yes,LOSS
NVDA_20260706T133509.741067,2026-07-06T13:35:09.741067,NVDA,PUT,MODERATE,58,BEARISH,194.51,194.0,191.5,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:44+00:00,204.15,0.0,1.14,no,yes,yes,LOSS
QQQ_20260706T133557.667658,2026-07-06T13:35:57.667658,QQQ,NONE,NO TRADE,34,NEUTRAL,721.48,,,,,,,,,,,yes,2026-07-22T15:35:44+00:00,,,,,,,NO_TRADE
SPY_20260706T133648.713946,2026-07-06T13:36:48.713946,SPY,NONE,NO TRADE,42,NEUTRAL,748.59,,,0.03,,,,,,,,yes,2026-07-22T15:35:44+00:00,,,,,,,NO_TRADE
TSLA_20260706T133744.382241,2026-07-06T13:37:44.382241,TSLA,PUT,MODERATE,58,BEARISH,392.31,390.0,381.0,396.0,1DTE,,,,,,,yes,2026-07-22T15:35:44+00:00,393.87,0.0,2.75,no,yes,yes,LOSS
AAPL_20260706T140207.131616,2026-07-06T14:02:07.131616,AAPL,NONE,NO TRADE,38,NEUTRAL,309.14,,,,,,,,,,,yes,2026-07-22T15:35:44+00:00,,,,,,,NO_TRADE
AMZN_20260706T140247.314213,2026-07-06T14:02:47.314213,AMZN,PUT,MODERATE,58,BEARISH,242.18,241.0,238.5,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:44+00:00,243.56,0.03,0.54,no,yes,yes,LOSS
META_20260706T140334.515419,2026-07-06T14:03:34.515419,META,PUT,MODERATE,58,BEARISH,585.69,585.0,574.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:44+00:00,603.07,0.01,0.51,no,yes,yes,LOSS
MSFT_20260706T140422.601862,2026-07-06T14:04:22.601862,MSFT,PUT,MODERATE,62,BEARISH,383.92,382.0,376.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:44+00:00,383.05,0.3,0.18,no,yes,yes,LOSS
NVDA_20260706T140511.147106,2026-07-06T14:05:11.147106,NVDA,PUT,LOW CONVICTION,48,BEARISH,196.1,195.0,192.53,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:45+00:00,204.15,0.12,0.34,no,yes,yes,LOSS
QQQ_20260706T140556.696164,2026-07-06T14:05:56.696164,QQQ,NONE,NO TRADE,38,NEUTRAL,721.91,,,,,,,,,,,yes,2026-07-22T15:35:45+00:00,,,,,,,NO_TRADE
SPY_20260706T140640.930095,2026-07-06T14:06:40.930095,SPY,NONE,NO TRADE,42,NEUTRAL,748.14,,,,,,,,,,,yes,2026-07-22T15:35:45+00:00,,,,,,,NO_TRADE
TSLA_20260706T140731.838682,2026-07-06T14:07:31.838682,TSLA,NONE,NO TRADE,32,NEUTRAL,401.83,,,,,,,,,,,yes,2026-07-22T15:35:45+00:00,,,,,,,NO_TRADE
AAPL_20260706T143206.255607,2026-07-06T14:32:06.255607,AAPL,PUT,MODERATE,58,BEARISH,311.36,310.0,304.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:45+00:00,313.26,0.03,0.39,no,yes,yes,LOSS
AMZN_20260706T143248.506398,2026-07-06T14:32:48.506398,AMZN,PUT,LOW CONVICTION,52,LEANING,243.3,243.0,240.5,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:45+00:00,243.56,0.35,0.0,no,yes,yes,LOSS
META_20260706T143337.063425,2026-07-06T14:33:37.063425,META,NONE,NO TRADE,38,NEUTRAL,587.53,,,,,,,,,,,yes,2026-07-22T15:35:45+00:00,,,,,,,NO_TRADE
MSFT_20260706T143434.885099,2026-07-06T14:34:34.885099,MSFT,PUT,MODERATE,64,BEARISH,384.17,382.0,375.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:45+00:00,383.05,0.08,0.28,no,yes,yes,LOSS
NVDA_20260706T143519.251757,2026-07-06T14:35:19.251757,NVDA,NONE,NO TRADE,38,NEUTRAL,196.45,,,,,,,,,,,yes,2026-07-22T15:35:45+00:00,,,,,,,NO_TRADE
QQQ_20260706T143606.321194,2026-07-06T14:36:06.321194,QQQ,NONE,NO TRADE,38,NEUTRAL,724.61,,,,,,,,,,,yes,2026-07-22T15:35:45+00:00,,,,,,,NO_TRADE
SPY_20260706T143657.124409,2026-07-06T14:36:57.124409,SPY,NONE,NO TRADE,42,NEUTRAL,749.83,,,,,,,,,,,yes,2026-07-22T15:35:45+00:00,,,,,,,NO_TRADE
TSLA_20260706T143753.914715,2026-07-06T14:37:53.914715,TSLA,NONE,NO TRADE,38,NEUTRAL,405.08,,,,,,,,,,,yes,2026-07-22T15:35:45+00:00,,,,,,,NO_TRADE
AAPL_20260706T150204.263099,2026-07-06T15:02:04.263099,AAPL,PUT,MODERATE,58,BEARISH,312.61,312.0,305.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:45+00:00,313.26,0.0,0.32,no,yes,yes,LOSS
AMZN_20260706T150244.900129,2026-07-06T15:02:44.900129,AMZN,PUT,MODERATE,62,BEARISH,242.78,242.0,239.5,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:45+00:00,243.56,0.0,0.87,no,yes,yes,LOSS
META_20260706T150333.525472,2026-07-06T15:03:33.525472,META,NONE,NO TRADE,42,NEUTRAL,588.55,,,,,,,,,,,yes,2026-07-22T15:35:45+00:00,,,,,,,NO_TRADE
MSFT_20260706T150417.299255,2026-07-06T15:04:17.299255,MSFT,PUT,MODERATE,62,BEARISH,385.2,385.0,377.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:45+00:00,383.05,0.0,0.44,no,yes,yes,LOSS
NVDA_20260706T150509.931826,2026-07-06T15:05:09.931826,NVDA,NONE,NO TRADE,38,NEUTRAL,195.98,,,,,,,,,,,yes,2026-07-22T15:35:45+00:00,,,,,,,NO_TRADE
QQQ_20260706T150602.403736,2026-07-06T15:06:02.403736,QQQ,NONE,NO TRADE,38,NEUTRAL,724.24,,,,,,,,,,,yes,2026-07-22T15:35:45+00:00,,,,,,,NO_TRADE
SPY_20260706T150657.545624,2026-07-06T15:06:57.545624,SPY,NONE,NO TRADE,42,NEUTRAL,750.24,,,,,,,,,,,yes,2026-07-22T15:35:45+00:00,,,,,,,NO_TRADE
TSLA_20260706T150755.316635,2026-07-06T15:07:55.316635,TSLA,NONE,NO TRADE,42,NEUTRAL,409.67,,,0.0,,,,,,,,yes,2026-07-22T15:35:45+00:00,,,,,,,NO_TRADE
AAPL_20260706T153156.561295,2026-07-06T15:31:56.561295,AAPL,NONE,NO TRADE,52,NEUTRAL,313.5,,,,,,,,,,,yes,2026-07-22T15:35:45+00:00,,,,,,,NO_TRADE
AMZN_20260706T153250.121971,2026-07-06T15:32:50.121971,AMZN,NONE,NO TRADE,52,NEUTRAL,244.85,,,,,,,,,,,yes,2026-07-22T15:35:45+00:00,,,,,,,NO_TRADE
META_20260706T153348.814805,2026-07-06T15:33:48.814805,META,NONE,NO TRADE,42,NEUTRAL,591.55,,,,,,,,,,,yes,2026-07-22T15:35:45+00:00,,,,,,,NO_TRADE
